            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s                VLM1 -   16.0°-60.00m/s    
    -4.706851         -739.4751      -4.706851         -310.7457      -4.706851          120.5239      -4.706851          553.8082      -4.706851          988.5795      -4.706851          1424.308      -4.706851          1860.463      -4.706851          2296.512      -4.706851          2731.926      -4.706851          3166.172      -4.706851          3598.723      -4.706851          4029.051      -4.706851          4456.631      -4.706851          4880.944      -4.706851          5301.471      -4.706851          5717.701      -4.706851          6129.126      -4.706851          6535.246      -4.706851          6935.565      -4.706851          7329.596      -4.706851          7716.858      -4.706851          8096.881      -4.706851            8469.2      -4.706851          8833.362      -4.706851          9188.924      -4.706851          9535.452      -4.706851          9872.524  
    -4.231851         -1132.239      -4.231851          -494.147      -4.231851          147.7512      -4.231851          792.6738      -4.231851          1439.835      -4.231851          2088.447      -4.231851          2737.719      -4.231851           3386.86      -4.231851          4035.079      -4.231851          4681.586      -4.231851          5325.594      -4.231851          5966.319      -4.231851          6602.978      -4.231851          7234.798      -4.231851          7861.008      -4.231851          8480.844      -4.231851          9093.553      -4.231851          9698.387      -4.231851          10294.61      -4.231851          10881.49      -4.231851          11458.33      -4.231851           12024.4      -4.231851          12579.03      -4.231851          13121.54      -4.231851          13651.27      -4.231851          14167.57      -4.231851          14669.81  
    -3.727943         -1656.748      -3.727943         -742.6487      -3.727943          176.9328      -3.727943          1100.876      -3.727943          2028.054      -3.727943          2957.339      -3.727943          3887.597      -3.727943          4817.696      -3.727943          5746.503      -3.727943          6672.885      -3.727943          7595.714      -3.727943          8513.865      -3.727943          9426.221      -3.727943          10331.67      -3.727943          11229.11      -3.727943          12117.44      -3.727943          12995.59      -3.727943          13862.48      -3.727943          14717.06      -3.727943          15558.28      -3.727943          16385.13      -3.727943          17196.59      -3.727943          17991.68      -3.727943          18769.42      -3.727943          19528.87      -3.727943          20269.11      -3.727943          20989.23  
    -3.198569         -2333.607      -3.198569          -1066.23      -3.198569          208.7787      -3.198569          1489.864      -3.198569          2775.467      -3.198569          4064.019      -3.198569          5353.952      -3.198569          6643.694      -3.198569          7931.673      -3.198569           9216.32      -3.198569          10496.07      -3.198569          11769.37      -3.198569          13034.65      -3.198569          14290.39      -3.198569          15535.05      -3.198569          16767.11      -3.198569          17985.08      -3.198569          19187.47      -3.198569          20372.81      -3.198569          21539.66      -3.198569           22686.6      -3.198569          23812.24      -3.198569          24915.19      -3.198569          25994.12      -3.198569          27047.71      -3.198569          28074.68      -3.198569          29073.78  
    -2.647346         -3181.328      -2.647346         -1473.399      -2.647346          244.8435      -2.647346          1971.307      -2.647346          3703.889      -2.647346          5440.477      -2.647346          7178.956      -2.647346          8917.209      -2.647346          10653.12      -2.647346          12384.56      -2.647346          14109.44      -2.647346          15825.65      -2.647346          17531.09      -2.647346           19223.7      -2.647346          20901.41      -2.647346          22562.16      -2.647346          24203.95      -2.647346          25824.77      -2.647346          27422.65      -2.647346          28995.63      -2.647346          30541.81      -2.647346           32059.3      -2.647346          33546.25      -2.647346          35000.84      -2.647346          36421.31      -2.647346          37805.93      -2.647346             39153  
    -2.078039         -4214.946      -2.078039         -1970.357      -2.078039          287.8176      -2.078039          2556.827      -2.078039          4833.906      -2.078039          7116.281      -2.078039          9401.171      -2.078039          11685.79      -2.078039          13967.36      -2.078039           16243.1      -2.078039          18510.23      -2.078039             20766      -2.078039          23007.65      -2.078039          25232.46      -2.078039           27437.7      -2.078039          29620.71      -2.078039          31778.81      -2.078039          33909.38      -2.078039          36009.82      -2.078039          38077.58      -2.078039          40110.12      -2.078039          42104.99      -2.078039          44059.74      -2.078039             45972      -2.078039          47839.43      -2.078039          49659.76      -2.078039          51430.78  
    -1.494537         -5444.493      -1.494537         -2560.048      -1.494537           341.884      -1.494537          3257.766      -1.494537          6184.045      -1.494537          9117.158      -1.494537          12053.53      -1.494537          14989.58      -1.494537          17921.74      -1.494537          20846.43      -1.494537          23760.08      -1.494537          26659.16      -1.494537          29540.12      -1.494537          32399.46      -1.494537           35233.7      -1.494537          38039.37      -1.494537          40813.06      -1.494537           43551.4      -1.494537          46251.04      -1.494537           48908.7      -1.494537          51521.14      -1.494537          54085.18      -1.494537          56597.69      -1.494537          59055.61      -1.494537          61455.94      -1.494537          63795.77      -1.494537          66072.24  
   -0.9008254         -6873.353     -0.9008254         -3241.119     -0.9008254          413.1539     -0.9008254          4085.015     -0.9008254          7769.992     -0.9008254          11463.59     -0.9008254          15161.32     -0.9008254          18858.66     -0.9008254          22551.13     -0.9008254           26234.2     -0.9008254          29903.41     -0.9008254          33554.27     -0.9008254          37182.35     -0.9008254          40783.22     -0.9008254          44352.49     -0.9008254          47885.81     -0.9008254          51378.89     -0.9008254          54827.46     -0.9008254          58227.32     -0.9008254          61574.33     -0.9008254          64864.42     -0.9008254          68093.57     -0.9008254          71257.85     -0.9008254           74353.4     -0.9008254          77376.46     -0.9008254          80323.33     -0.9008254          83190.44  
   -0.3009604         -8496.555     -0.3009604         -4006.824     -0.3009604          510.1624     -0.3009604            5048.9     -0.3009604          9603.861     -0.3009604          14169.49     -0.3009604          18740.24     -0.3009604          23310.52     -0.3009604          27874.78     -0.3009604          32427.45     -0.3009604          36962.98     -0.3009604          41475.86     -0.3009604          45960.57     -0.3009604          50411.67     -0.3009604          54823.72     -0.3009604          59191.35     -0.3009604          63509.23     -0.3009604          67772.11     -0.3009604           71974.8     -0.3009604          76112.17     -0.3009604          80179.18     -0.3009604          84170.88     -0.3009604          88082.41     -0.3009604          91908.99     -0.3009604          95645.97     -0.3009604          99288.79     -0.3009604            102833  
    0.3009604         -8495.911      0.3009604         -4006.273      0.3009604          510.6185      0.3009604          5049.262      0.3009604          9604.128      0.3009604          14169.67      0.3009604          18740.31      0.3009604           23310.5      0.3009604          27874.67      0.3009604          32427.24      0.3009604          36962.69      0.3009604          41475.47      0.3009604           45960.1      0.3009604           50411.1      0.3009604          54823.06      0.3009604           59190.6      0.3009604           63508.4      0.3009604          67771.19      0.3009604           71973.8      0.3009604          76111.08      0.3009604          80178.02      0.3009604          84169.64      0.3009604          88081.08      0.3009604          91907.59      0.3009604           95644.5      0.3009604          99287.25      0.3009604          102831.4  
